expected,estimated,time
27.5,54,0.226999998
27.5,54,0.176000118
,,
27.5,54,0.167999983
,,
27.5,54,0.184999943
,,
27.5,54,0.171000004
,,
29.13523509,57,0.170000076
,,
29.13523509,57,0.224999905
,,
29.13523509,57,0.224999905
,,
29.13523509,57,0.301000118
,,
29.13523509,57,0.615999937
,,
30.86770633,61,0.200999975
,,
30.86770633,61,0.256999969
,,
30.86770633,61,0.244999886
,,
30.86770633,61,0.28399992
,,
30.86770633,61,0.367000103
,,
32.70319566,65,0.480999947
,,
32.70319566,65,0.217000008
,,
32.70319566,65,0.260999918
,,
32.70319566,65,0.24000001
,,
32.70319566,65,0.21600008
,,
34.64782887,68,0.926999807
,,
34.64782887,68,0.75999999
,,
34.64782887,68,0.59100008
,,
34.64782887,68,0.292000055
,,
34.64782887,68,0.191999912
,,
36.70809599,72,0.209000111
,,
36.70809599,72,0.191999912
,,
36.70809599,72,0.23300004
,,
36.70809599,72,0.387000084
,,
36.70809599,72,0.410000086
,,
38.89087297,77,0.371000051
,,
38.89087297,77,0.375999928
,,
38.89087297,77,0.400000095
,,
38.89087297,77,0.213999987
,,
38.89087297,77,0.387000084
,,
41.20344461,81,0.217000008
,,
41.20344461,81,0.194000006
,,
41.20344461,81,0.242999792
,,
41.20344461,81,0.980000019
,,
41.20344461,81,0.242000103
,,
43.65352893,86,0.734999895
,,
43.65352893,86,0.532999992
,,
43.65352893,86,0.290999889
,,
43.65352893,86,0.476999998
,,
43.65352893,86,0.457999945
,,
46.24930284,91,0.648999929
,,
46.24930284,91,0.200000048
,,
46.24930284,91,0.933999777
,,
46.24930284,91,0.286000013
,,
46.24930284,91,1.161000013
,,
48.9994295,97,0.411999941
,,
48.9994295,97,0.200000048
,,
48.9994295,97,0.340999842
,,
48.9994295,97,0.207000017
,,
48.9994295,97,0.209000111
,,
51.9130872,103,0.275000095
,,
51.9130872,51,0.200999975
,,
51.9130872,51,0.916000128
,,
51.9130872,51,0.760999918
,,
51.9130872,51,0.351999998
,,
55,54,0.57400012
,,
55,54,0.752000093
,,
55,54,0.220000029
,,
55,54,0.38499999
,,
55,54,0.58100009
,,
58.27047019,57,0.599999905
,,
58.27047019,57,0.487999916
,,
58.27047019,57,0.549999952
,,
58.27047019,57,0.809000015
,,
58.27047019,57,0.249000072
,,
61.73541266,61,0.368000031
,,
61.73541266,61,0.257999897
,,
61.73541266,61,0.296000004
,,
61.73541266,61,0.25
,,
61.73541266,61,0.245000124
,,
65.40639133,65,0.213000059
,,
65.40639133,65,0.208000183
,,
65.40639133,65,0.349999905
,,
65.40639133,65,0.348999977
,,
65.40639133,65,0.226000071
,,
69.29565774,68,0.195999861
,,
69.29565774,68,0.267999887
,,
69.29565774,68,0.217000008
,,
69.29565774,68,0.17599988
,,
69.29565774,68,0.509000063
,,
73.41619198,73,0.226000071
,,
73.41619198,73,0.156999826
,,
73.41619198,73,0.166999817
,,
73.41619198,73,0.151000023
,,
73.41619198,73,0.17599988
,,
77.78174593,77,0.167999983
,,
77.78174593,77,0.191999912
,,
77.78174593,77,0.156999826
,,
77.78174593,77,0.167999983
,,
77.78174593,77,0.154999971
,,
82.40688923,82,0.156000137
,,
82.40688923,82,0.16899991
,,
82.40688923,82,0.176000118
,,
82.40688923,82,0.157999992
,,
82.40688923,82,0.156999826
,,
87.30705786,86,0.1650002
,,
87.30705786,86,0.15899992
,,
87.30705786,86,0.176000118
,,
87.30705786,86,0.160000086
,,
87.30705786,86,0.156999826
,,
92.49860568,91,0.167000055
,,
92.49860568,91,0.151000023
,,
92.49860568,91,0.167000055
,,
92.49860568,91,0.159999847
,,
92.49860568,91,0.160000086
,,
97.998859,97,0.15199995
,,
97.998859,97,0.164000034
,,
97.998859,97,0.169999838
,,
97.998859,97,0.15899992
,,
97.998859,97,0.15899992
,,
103.8261744,103,0.191999912
,,
103.8261744,103,0.15899992
,,
103.8261744,103,0.167000055
,,
103.8261744,103,0.160000086
,,
103.8261744,103,0.148999929
,,
110,109,0.165999889
,,
110,109,0.16899991
,,
110,109,0.157000065
,,
110,109,0.167000055
,,
110,109,0.1650002
,,
116.5409404,115,0.160000086
,,
116.5409404,115,0.171999931
,,
116.5409404,115,0.172999859
,,
116.5409404,115,0.155999899
,,
116.5409404,115,0.154000044
,,
123.4708253,123,0.225999832
,,
123.4708253,123,0.208999872
,,
123.4708253,123,0.276000023
,,
123.4708253,123,0.207999945
,,
123.4708253,123,0.183000088
,,
130.8127827,130,0.15899992
,,
130.8127827,130,0.148999929
,,
130.8127827,130,0.184000015
,,
130.8127827,130,0.174000025
,,
130.8127827,130,0.17599988
,,
138.5913155,137,0.159000158
,,
138.5913155,137,0.164999962
,,
138.5913155,137,0.184000015
,,
138.5913155,137,0.1650002
,,
138.5913155,137,0.167999983
,,
146.832384,73,0.476999998
,,
146.832384,73,0.213999987
,,
146.832384,73,0.173000097
,,
146.832384,73,0.184000015
,,
146.832384,73,0.181999922
,,
155.5634919,77,0.232999802
,,
155.5634919,77,0.36500001
,,
155.5634919,77,0.381999969
,,
155.5634919,77,0.183000088
,,
155.5634919,77,0.26699996
,,
164.8137785,163,0.27699995
,,
164.8137785,54,0.276000023
,,
164.8137785,54,0.274000168
,,
164.8137785,54,0.249000072
,,
164.8137785,54,0.359999895
,,
174.6141157,173,0.661999941
,,
174.6141157,173,0.224999905
,,
174.6141157,173,0.629999876
,,
174.6141157,173,0.223999977
,,
174.6141157,173,0.28399992
,,
184.9972114,183,0.250999928
,,
184.9972114,183,0.69299984
,,
184.9972114,183,0.292999983
,,
184.9972114,183,0.310000181
,,
184.9972114,183,0.28399992
,,
195.997718,195,0.489000082
,,
195.997718,195,0.279999971
,,
195.997718,195,0.334000111
,,
195.997718,195,0.224999905
,,
195.997718,195,0.620000124
,,
207.6523488,103,0.491999865
,,
207.6523488,103,0.480000019
,,
207.6523488,103,0.321999788
,,
207.6523488,103,0.376000166
,,
207.6523488,103,0.36500001
,,
220,219,0.250999928
,,
220,219,0.376000166
,,
220,219,0.615999937
,,
220,219,0.28399992
,,
220,219,0.855999947
,,
233.0818808,231,0.201999903
,,
233.0818808,231,0.215999842
,,
233.0818808,231,0.409999847
,,
233.0818808,231,0.49000001
,,
233.0818808,231,0.31799984
,,
246.9416506,246,0.768000126
,,
246.9416506,246,0.332999945
,,
246.9416506,246,0.259000063
,,
246.9416506,246,0.25999999
,,
246.9416506,246,0.217000008
,,
261.6255653,130,0.282000065
,,
261.6255653,130,0.316999912
,,
261.6255653,130,0.375
,,
261.6255653,130,0.281000137
,,
261.6255653,130,0.444999933
,,
277.182631,275,0.421999931
,,
277.182631,275,0.309000015
,,
277.182631,275,0.224999905
,,
277.182631,275,0.291000128
,,
277.182631,275,0.266000032
,,
293.6647679,290,0.401000023
,,
293.6647679,290,0.402999878
,,
293.6647679,290,0.384000063
,,
293.6647679,290,0.437000036
,,
293.6647679,290,0.21600008
,,
311.1269837,77,0.489000082
,,
311.1269837,77,0.349000216
,,
311.1269837,77,0.91899991
,,
311.1269837,77,0.208000183
,,
311.1269837,77,0.292000055
,,
329.6275569,326,0.299999952
,,
329.6275569,326,0.311000109
,,
329.6275569,326,0.235000134
,,
329.6275569,326,0.200999975
,,
329.6275569,326,0.233999968
,,
349.2282314,347,0.224999905
,,
349.2282314,347,0.213000059
,,
349.2282314,347,0.175000191
,,
349.2282314,347,0.282999992
,,
349.2282314,347,0.200000048
,,
369.9944227,183,0.22300005
,,
369.9944227,183,0.190000057
,,
369.9944227,183,0.233999968
,,
369.9944227,183,0.336999893
,,
369.9944227,183,0.513999939
,,
391.995436,390,0.318000078
,,
391.995436,390,0.284000158
,,
391.995436,390,0.259000063
,,
391.995436,390,0.287999868
,,
391.995436,390,0.266000032
,,
415.3046976,103,0.342000008
,,
415.3046976,103,0.276000023
,,
415.3046976,103,0.305999994
,,
415.3046976,103,0.302999973
,,
415.3046976,103,0.282000065
,,
440,87,0.453999996
,,
440,87,0.350000143
,,
440,87,0.367000103
,,
440,219,0.334000111
,,
440,219,0.345000029
,,
466.1637615,231,0.194000006
,,
466.1637615,231,0.217000008
,,
466.1637615,231,0.191999912
,,
466.1637615,231,0.199999809
,,
466.1637615,231,0.258999825
,,
493.8833013,98,0.199999809
,,
493.8833013,98,0.224999905
,,
493.8833013,98,0.174000025
,,
493.8833013,98,0.242999792
,,
493.8833013,98,0.19900012
,,
523.2511306,103,0.219000101
,,
523.2511306,103,0.223999977
,,
523.2511306,103,0.213000059
,,
523.2511306,103,0.207999945
,,
523.2511306,103,0.217000008
,,
554.365262,551,0.193000078
,,
554.365262,551,0.209000111
,,
554.365262,551,0.225000143
,,
554.365262,551,0.190999985
,,
554.365262,551,0.25
,,
587.3295358,290,0.184000015
,,
587.3295358,290,0.226999998
,,
587.3295358,290,0.207999945
,,
587.3295358,290,0.200999975
,,
587.3295358,83,0.191999912
,,
622.2539674,615,0.210000038
,,
622.2539674,615,0.177000046
,,
622.2539674,615,0.217000008
,,
622.2539674,615,0.180999994
,,
622.2539674,615,0.19299984
,,
659.2551138,326,0.201999903
,,
659.2551138,326,0.215000153
,,
659.2551138,326,0.232999802
,,
659.2551138,326,0.259000063
,,
659.2551138,326,0.221999884
,,
698.4564629,695,0.198000193
,,
698.4564629,695,0.21600008
,,
698.4564629,695,0.190999985
,,
698.4564629,695,0.217000008
,,
698.4564629,695,0.184000015
,,
739.9888454,183,0.225000143
,,
739.9888454,183,0.194000006
,,
739.9888454,183,0.193000078
,,
739.9888454,183,0.208000183
,,
739.9888454,183,0.217000008
,,
783.990872,390,0.275999784
,,
783.990872,390,0.23300004
,,
783.990872,390,0.209000111
,,
783.990872,390,0.184000015
,,
783.990872,390,0.243000031
,,
830.6093952,164,0.191999912
,,
830.6093952,164,0.207999945
,,
830.6093952,164,0.226999998
,,
830.6093952,164,0.23300004
,,
830.6093952,164,0.223999977
,,
880,290,0.21600008
,,
880,290,0.217000008
,,
880,290,0.191999912
,,
880,290,0.220000029
,,
880,290,0.217000008
,,
932.327523,132,0.253999949
,,
932.327523,132,0.224999905
,,
932.327523,132,0.243000031
,,
932.327523,132,0.192000151
,,
932.327523,132,0.207000017
,,
987.7666025,326,0.258999825
,,
987.7666025,326,0.209000111
,,
987.7666025,326,0.217000008
,,
987.7666025,326,0.223999977
,,
987.7666025,326,0.217000008
,,
1046.502261,516,0.224999905
,,
1046.502261,516,0.226000071
,,
1046.502261,207,0.242000103
,,
1046.502261,207,0.225999832
,,
1046.502261,207,0.207999945
,,
1108.730524,551,0.234999895
,,
1108.730524,551,0.239000082
,,
1108.730524,551,0.220000029
,,
1108.730524,551,0.23300004
,,
1108.730524,551,0.208999872
,,
1174.659072,290,0.257999897
,,
1174.659072,290,0.242000103
,,
1174.659072,290,0.184000015
,,
1174.659072,290,0.199999809
,,
1174.659072,290,0.20600009
,,
1244.507935,615,0.217999935
,,
1244.507935,615,0.225000143
,,
1244.507935,615,0.23300004
,,
1244.507935,615,0.23300004
,,
1244.507935,615,0.17599988
,,
1318.510228,326,0.199999809
,,
1318.510228,326,0.192000151
,,
1318.510228,326,0.244999886
,,
1318.510228,326,0.203999996
,,
1318.510228,326,0.249000072
,,
1396.912926,695,0.180000067
,,
1396.912926,695,0.241000175
,,
1396.912926,695,0.21600008
,,
