expected,actual,time
27.5,220,0.008160591
,,
27.5,110,0
,,
27.5,328,0
,,
27.5,218,0.006016016
,,
27.5,110,0.008121014
,,
29.13523509,232,0
,,
29.13523509,116,0
,,
29.13523509,348,0
,,
29.13523509,348,0
,,
29.13523509,116,0
,,
30.86770633,306,0
,,
30.86770633,246,0
,,
30.86770633,246,0
,,
30.86770633,366,0
,,
30.86770633,124,0
,,
32.70319566,388,0.008124113
,,
32.70319566,390,0
,,
32.70319566,260,0
,,
32.70319566,192,0
,,
32.70319566,130,0
,,
34.64782887,138,0
,,
34.64782887,274,0.00799489
,,
34.64782887,274,0.008322477
,,
34.64782887,1376,0.002052307
,,
34.64782887,276,0
,,
36.70809599,292,0
,,
36.70809599,366,0
,,
36.70809599,438,0
,,
36.70809599,586,0
,,
36.70809599,292,0.008001328
,,
38.89087297,384,0
,,
38.89087297,232,0
,,
38.89087297,464,0
,,
38.89087297,618,0
,,
38.89087297,310,0
,,
41.20344461,494,0
,,
41.20344461,330,0
,,
41.20344461,164,0
,,
41.20344461,492,0
,,
41.20344461,328,0
,,
43.65352893,348,0
,,
43.65352893,348,0
,,
43.65352893,348,0
,,
43.65352893,348,0
,,
43.65352893,346,0
,,
46.24930284,276,0.00818491
,,
46.24930284,460,0
,,
46.24930284,368,0
,,
46.24930284,368,0
,,
46.24930284,366,0
,,
48.9994295,196,0.008192778
,,
48.9994295,196,0
,,
48.9994295,584,0
,,
48.9994295,390,0
,,
48.9994295,288,0
,,
51.9130872,414,0
,,
51.9130872,207,0.010267973
,,
51.9130872,259,0.008265495
,,
51.9130872,310,0
,,
51.9130872,414,0
,,
55,165,0.008127213
,,
55,328,0
,,
55,273,0.008184195
,,
55,328,0.010424376
,,
55,329,0
,,
58.27047019,174,0
,,
58.27047019,172,0.009870291
,,
58.27047019,348,0
,,
58.27047019,116,0
,,
58.27047019,348,0
,,
61.73541266,245,0.007995129
,,
61.73541266,307,0
,,
61.73541266,246,0.002047777
,,
61.73541266,123,0.005509377
,,
61.73541266,246,0.008390665
,,
65.40639133,130,0.008191586
,,
65.40639133,260,0.008372068
,,
65.40639133,325,0.008138418
,,
65.40639133,260,0
,,
65.40639133,260,0.008057833
,,
69.29565774,206,0
,,
69.29565774,206,0
,,
69.29565774,413,0.010258198
,,
69.29565774,413,0.008030653
,,
69.29565774,275,0.008229017
,,
73.41619198,366,0
,,
73.41619198,146,0
,,
73.41619198,146,0
,,
73.41619198,366,0
,,
73.41619198,219,0
,,
77.78174593,232,0.008372068
,,
77.78174593,309,0.007991314
,,
77.78174593,309,0.008119106
,,
77.78174593,387,0.008178234
,,
77.78174593,464,0.007999182
,,
82.40688923,164,0.008244038
,,
82.40688923,246,0.008179188
,,
82.40688923,163,0.00835228
,,
82.40688923,246,0
,,
82.40688923,164,0
,,
87.30705786,261,0
,,
87.30705786,347,0
,,
87.30705786,521,0
,,
87.30705786,347,0
,,
87.30705786,174,0
,,
92.49860568,368,0.008200407
,,
92.49860568,184,0.008259296
,,
92.49860568,368,0
,,
92.49860568,460,0.010270119
,,
92.49860568,368,0.008150101
,,
97.998859,195,0.008152008
,,
97.998859,292,0.008196354
,,
97.998859,292,0.00839591
,,
97.998859,195,0.00816083
,,
97.998859,390,0
,,
103.8261744,205,0
,,
103.8261744,517,0.008272409
,,
103.8261744,414,0.002169132
,,
103.8261744,310,0
,,
103.8261744,517,0.008545876
,,
110,328,0.002398491
,,
110,328,0
,,
110,437,0
,,
110,547,0.008179188
,,
110,547,0.00830245
,,
116.5409404,231,0.008155823
,,
116.5409404,232,0.008276939
,,
116.5409404,348,0.008121729
,,
116.5409404,115,0.010183573
,,
116.5409404,348,0.010342836
,,
123.4708253,123,0
,,
123.4708253,369,0.008060932
,,
123.4708253,491,0
,,
123.4708253,614,0.008023262
,,
123.4708253,368,0
,,
130.8127827,390,0.011199236
,,
130.8127827,520,0.01192379
,,
130.8127827,260,0
,,
130.8127827,390,0
,,
130.8127827,520,0.002994299
,,
138.5913155,414,0.00398922
,,
138.5913155,413,0.002991676
,,
138.5913155,551,0.002991676
,,
138.5913155,276,0.001992464
,,
138.5913155,276,0.002991438
,,
146.832384,292,0.002992392
,,
146.832384,291,0.002992868
,,
146.832384,730,0.003219843
,,
146.832384,584,0.003227949
,,
146.832384,438,0.00510478
,,
155.5634919,155,0.002991199
,,
155.5634919,310,0.003161907
,,
155.5634919,464,0.002992868
,,
155.5634919,309,0.005141735
,,
155.5634919,309,0.002990484
,,
164.8137785,327,0.003025055
,,
164.8137785,327,0.003125668
,,
164.8137785,656,0.002138376
,,
