expected,estimated,time
27.5,158,0.031999826
27.5,109,0.010999918
,,
27.5,141,0.018000126
,,
29.13523509,183,0.018000126
,,
29.13523509,112,0.017999887
,,
29.13523509,144,0.01699996
,,
30.86770633,200,0.007999897
,,
30.86770633,146,0.071000099
,,
32.70319566,154,0.015999794
,,
32.70319566,156,0.01699996
,,
32.70319566,148,0.016000032
,,
34.64782887,156,0.019000053
,,
34.64782887,200,0.017000198
,,
34.64782887,164,0.012000084
,,
34.64782887,168,0.010999918
,,
34.64782887,151,0.012000084
,,
36.70809599,197,0.012000084
,,
36.70809599,193,0.013000011
,,
36.70809599,196,0.00999999
,,
36.70809599,192,0.010999918
,,
36.70809599,153,0.00999999
,,
38.89087297,200,0.010999918
,,
38.89087297,200,0.013000011
,,
38.89087297,200,0.011999846
,,
38.89087297,200,0.015000105
,,
38.89087297,154,0.00999999
,,
41.20344461,125,0.010999918
,,
41.20344461,108,0.012000084
,,
41.20344461,200,0.011999846
,,
41.20344461,121,0.011000156
,,
41.20344461,165,0.015000105
,,
43.65352893,86,0.012000084
,,
43.65352893,86,0.00999999
,,
43.65352893,86,0.00999999
,,
43.65352893,122,0.00999999
,,
43.65352893,86,0.00999999
,,
46.24930284,91,0.010999918
,,
46.24930284,91,0.012000084
,,
46.24930284,91,0.013000011
,,
46.24930284,200,0.013999939
,,
46.24930284,160,0.011999846
,,
48.9994295,97,0.012000084
,,
48.9994295,97,0.011999846
,,
48.9994295,97,0.010999918
,,
48.9994295,195,0.011000156
,,
48.9994295,164,0.012000084
,,
51.9130872,200,0.013000011
,,
51.9130872,103,0.011000156
,,
51.9130872,103,0.012000084
,,
51.9130872,103,0.00999999
,,
51.9130872,145,0.009000063
,,
55,81,0.00999999
,,
55,81,0.00999999
,,
55,82,0.00999999
,,
55,160,0.00999999
,,
58.27047019,181,0.009000063
,,
61.73541266,86,0.008999825
,,
65.40639133,181,0.013000011
,,
65.40639133,179,0.011999846
,,
69.29565774,70,0.00999999
,,
69.29565774,70,0.00999999
,,
69.29565774,70,0.00999999
,,
69.29565774,70,0.00999999
,,
69.29565774,88,0.00999999
,,
73.41619198,73,0.00999999
,,
73.41619198,73,0.01699996
,,
73.41619198,146,0.009000063
,,
73.41619198,146,0.011999846
,,
73.41619198,90,0.009000063
,,
77.78174593,77,0.011000156
,,
77.78174593,100,0.010999918
,,
77.78174593,77,0.008999825
,,
77.78174593,100,0.00999999
,,
77.78174593,77,0.00999999
,,
82.40688923,82,0.00999999
,,
82.40688923,108,0.00999999
,,
82.40688923,82,0.010999918
,,
82.40688923,109,0.009000063
,,
82.40688923,82,0.010999918
,,
87.30705786,86,0.010999918
,,
87.30705786,86,0.013000011
,,
87.30705786,113,0.00999999
,,
87.30705786,86,0.012000084
,,
87.30705786,86,0.00999999
,,
92.49860568,91,0.009000063
,,
92.49860568,186,0.00999999
,,
92.49860568,91,0.012000084
,,
92.49860568,91,0.00999999
,,
92.49860568,91,0.010999918
,,
97.998859,97,0.011000156
,,
97.998859,134,0.010000229
,,
97.998859,97,0.011000156
,,
97.998859,195,0.00999999
,,
97.998859,197,0.013000011
,,
103.8261744,155,0.00999999
,,
103.8261744,146,0.009000063
,,
103.8261744,149,0.00999999
,,
103.8261744,103,0.00999999
,,
103.8261744,149,0.008999825
,,
110,109,0.009000063
,,
110,109,0.009000063
,,
110,109,0.010000229
,,
110,109,0.00999999
,,
110,109,0.011000156
,,
116.5409404,115,0.009000063
,,
116.5409404,115,0.011000156
,,
116.5409404,115,0.009000063
,,
116.5409404,115,0.00999999
,,
116.5409404,166,0.00999999
,,
123.4708253,123,0.00999999
,,
123.4708253,123,0.00999999
,,
123.4708253,123,0.009000063
,,
123.4708253,123,0.009000063
,,
123.4708253,192,0.009000063
,,
130.8127827,130,0.009000063
,,
130.8127827,195,0.009000063
,,
130.8127827,197,0.008999825
,,
130.8127827,130,0.009000063
,,
130.8127827,200,0.010999918
,,
138.5913155,137,0.009000063
,,
138.5913155,137,0.00999999
,,
138.5913155,186,0.008999825
,,
